image,approach,vehicle_count_1min,volume_veh_per_hour,queue_length_veh,density_percent,avg_speed_kmh
frame_0380,LEFT,4,240,0,16.152799606323242,45.0
frame_0380,CENTER,4,240,0,6.195000171661377,55.0
frame_0380,RIGHT,0,0,0,0.0,60.0
frame_0066,LEFT,4,240,0,14.890199661254883,45.0
frame_0066,CENTER,3,180,0,7.2804999351501465,55.0
frame_0066,RIGHT,1,60,0,9.888699531555176,55.0
frame_0273,LEFT,5,300,0,8.132499694824219,55.0
frame_0273,CENTER,6,360,0,6.563600063323975,55.0
frame_0273,RIGHT,0,0,0,0.0,60.0
frame_0270,LEFT,5,300,0,6.365499973297119,55.0
frame_0270,CENTER,6,360,0,6.048099994659424,55.0
frame_0270,RIGHT,0,0,0,0.0,60.0
frame_0075,LEFT,3,180,0,4.224999904632568,55.0
frame_0075,CENTER,3,180,0,7.776899814605713,55.0
frame_0075,RIGHT,1,60,0,10.749300003051758,45.0
frame_0254,LEFT,5,300,0,10.728599548339844,45.0
frame_0254,CENTER,8,480,0,5.439700126647949,55.0
frame_0254,RIGHT,0,0,0,0.0,60.0
frame_0336,LEFT,5,300,0,12.648900032043457,45.0
frame_0336,CENTER,5,300,0,8.024200439453125,55.0
frame_0336,RIGHT,0,0,0,0.0,60.0
frame_0340,LEFT,6,360,0,17.616300582885742,45.0
frame_0340,CENTER,4,240,0,8.071399688720703,55.0
frame_0340,RIGHT,0,0,0,0.0,60.0
frame_0205,LEFT,4,240,0,14.711999893188477,45.0
frame_0205,CENTER,5,300,0,2.29010009765625,55.0
frame_0205,RIGHT,0,0,0,0.0,60.0
frame_0079,LEFT,2,120,0,2.408400058746338,55.0
frame_0079,CENTER,3,180,0,9.031100273132324,55.0
frame_0079,RIGHT,1,60,0,6.849999904632568,55.0
frame_0332,LEFT,5,300,0,10.399800300598145,45.0
frame_0332,CENTER,5,300,0,7.027200222015381,55.0
frame_0332,RIGHT,0,0,0,0.0,60.0
frame_0334,LEFT,5,300,0,11.161499977111816,45.0
frame_0334,CENTER,5,300,0,7.680600166320801,55.0
frame_0334,RIGHT,0,0,0,0.0,60.0
frame_0341,LEFT,6,360,0,17.77989959716797,45.0
frame_0341,CENTER,4,240,0,8.045100212097168,55.0
frame_0341,RIGHT,0,0,0,0.0,60.0
frame_0283,LEFT,5,300,0,13.907500267028809,45.0
